0,0,1,1,52,55,3,0,0,0,0
0,0,2,3,47,56,0,0,0,0,0
0,0,5,9,89,70,4,0,0,0,0
0,0,1,5,73,49,2,0,0,0,0
0,0,3,3,63,38,4,0,0,0,0
0,2,1,11,106,106,1,0,0,0,0
0,0,3,12,83,76,9,0,0,0,0
0,0,1,0,30,41,1,0,0,0,0
0,0,0,1,67,78,0,0,0,0,0
0,0,1,11,124,188,8,0,0,0,0
0,0,0,2,39,53,2,0,0,0,0
0,0,0,2,39,45,3,0,0,0,0
0,0,0,7,82,54,10,0,0,0,0
0,0,1,4,21,25,0,0,0,0,0
0,0,1,4,53,56,7,0,0,0,0
0,0,1,2,21,17,0,0,0,0,0
0,0,3,8,166,150,13,0,0,0,0
0,0,2,10,87,119,7,0,0,0,0
0,0,3,6,85,76,17,0,0,0,0
0,0,1,3,187,232,11,0,0,0,0
0,0,4,6,102,136,7,0,0,0,0
0,0,0,14,241,288,8,0,0,0,0
0,0,1,4,51,75,2,0,0,0,0
0,0,0,1,68,69,13,0,0,0,0
0,0,4,13,208,287,9,1,1,0,0
0,0,0,6,87,127,5,0,0,0,0
0,0,2,0,16,6,0,0,0,0,0
0,0,2,4,131,129,8,0,0,0,0
0,0,4,7,137,198,15,0,0,0,0
0,0,0,6,57,43,9,0,0,1,0
0,0,3,17,185,152,22,0,0,0,0
0,1,0,9,249,282,12,0,0,0,0
0,0,2,13,207,177,11,0,0,0,0
0,0,1,5,201,240,42,0,0,0,0
0,0,0,5,37,60,2,0,0,0,0
0,0,2,14,135,187,12,1,0,0,0
0,0,2,10,115,129,13,0,0,0,0
0,0,1,3,39,55,2,0,0,0,0
0,0,1,4,24,19,3,0,0,0,0
0,0,0,4,57,62,1,0,0,0,0
0,0,4,3,53,58,9,0,0,0,0
0,1,5,3,43,40,4,0,1,0,0
0,0,4,6,80,62,7,0,0,0,0
0,0,2,13,201,143,11,1,0,0,0
0,0,0,7,94,76,0,0,0,0,0
0,1,3,1,22,11,1,0,0,0,0
0,0,1,9,46,51,0,0,0,0,0
0,0,1,3,57,93,6,0,0,0,0
0,0,1,12,145,133,13,0,0,0,0
0,1,2,5,56,71,0,0,0,0,0
0,1,2,1,67,82,2,0,0,0,0
0,0,1,4,78,72,2,0,0,0,0
0,0,2,9,41,48,6,0,0,0,0
0,0,4,2,99,125,10,0,0,0,0
0,0,1,10,87,93,5,0,0,0,0
0,1,1,0,15,22,9,0,0,0,0
0,0,0,4,70,58,1,0,0,0,0
0,0,1,6,82,106,1,0,0,0,0
0,0,4,8,146,129,16,0,0,0,0
0,0,4,3,35,43,4,0,0,0,0
0,0,0,12,126,133,23,0,0,0,0
0,0,2,2,45,42,2,1,0,0,0
0,0,1,0,71,78,11,0,0,0,0
0,1,0,8,67,69,10,0,0,0,0
0,0,7,16,184,191,16,0,0,0,0
0,0,1,2,88,102,2,0,0,0,0
0,0,0,0,72,52,1,0,0,0,0
0,0,1,1,57,75,2,0,0,0,0
0,0,1,2,41,75,3,0,0,0,0
0,0,1,5,61,83,5,0,0,0,0
0,0,3,4,21,15,1,0,0,0,0
0,0,1,0,45,72,0,0,0,0,0
0,0,1,4,68,36,1,0,0,0,0
0,0,0,4,75,47,2,0,0,1,0
0,1,1,5,74,74,7,0,0,1,0
0,0,2,5,165,232,10,1,0,0,0
0,0,2,4,111,124,15,0,0,0,0
0,0,1,9,39,56,3,0,0,0,0
0,0,0,3,55,45,2,0,0,0,0
0,0,0,9,168,166,7,0,0,0,0
0,0,0,2,79,62,1,0,0,0,0
0,0,0,8,180,266,18,1,0,0,0
0,0,0,2,55,77,3,0,0,0,0
0,0,1,5,71,37,2,0,0,0,0
0,1,3,1,54,55,6,0,0,0,0
0,0,3,8,56,57,4,0,0,0,0
0,0,3,9,110,112,8,0,1,0,0
0,0,2,3,71,62,9,0,0,0,0
0,1,3,6,64,37,0,0,0,0,0
0,0,3,5,66,60,0,0,0,0,0
0,1,1,8,91,55,1,1,0,0,0
0,0,2,2,71,62,4,1,0,0,0
0,0,1,4,34,34,11,1,0,0,0
0,0,3,5,90,57,4,0,0,0,0
0,0,6,46,432,405,9,1,0,0,0
0,0,2,15,305,388,23,1,0,0,0
0,0,1,7,177,164,11,1,0,0,0
0,0,2,5,64,49,0,0,0,0,0
0,0,4,10,117,87,2,0,0,0,0
0,0,3,6,108,101,4,0,0,0,0
0,0,3,8,59,58,3,0,0,0,0
0,1,9,7,232,182,17,0,0,0,0
0,0,1,6,75,69,12,0,0,0,0
0,1,2,7,77,31,0,0,0,0,0
0,0,0,0,94,108,11,0,0,0,0
0,0,1,9,105,131,11,1,0,0,0
0,1,0,5,34,49,4,0,0,0,0
0,0,1,9,62,74,6,0,0,0,0
0,0,4,0,19,15,1,0,0,0,0
0,0,0,3,58,63,0,0,0,0,0
0,0,0,0,42,21,4,0,0,0,0
0,0,3,8,107,75,1,0,0,0,0
0,0,1,5,89,94,3,0,0,0,0
0,0,2,6,162,137,7,0,0,0,0
0,0,3,4,206,228,6,0,1,1,0
0,0,5,6,71,72,8,0,0,0,0
0,1,2,5,39,41,2,0,0,0,0
0,0,2,2,76,55,6,0,0,0,0
0,0,1,2,16,26,3,0,0,0,0
0,0,1,4,64,46,8,0,0,0,0
0,2,7,13,152,180,16,0,0,0,0
0,0,4,4,48,37,0,0,0,0,0
0,0,3,13,61,56,1,0,0,0,0
0,0,0,3,24,26,1,0,0,0,0
0,0,1,2,35,53,0,0,0,0,0
0,0,2,4,57,61,1,0,0,0,0
0,0,0,2,15,13,5,0,0,0,0
0,0,0,6,49,43,2,0,0,0,0
0,0,1,12,174,155,7,1,0,1,0
0,0,2,10,126,148,16,0,0,0,0
0,0,0,8,88,85,9,0,0,0,0
0,0,3,2,26,44,5,0,0,0,0
0,0,11,3,91,96,1,0,0,0,0
0,0,3,5,53,57,1,0,0,0,0
0,0,4,3,45,50,1,0,0,0,0
0,0,1,6,51,72,1,0,0,0,0
0,0,1,2,136,105,9,0,0,0,0
0,1,4,6,58,50,2,0,0,0,0
0,1,4,3,85,75,1,0,0,0,0
0,0,1,2,84,109,4,0,0,0,0
0,1,3,25,463,607,27,2,0,0,0
0,0,0,1,92,129,3,0,1,0,0
0,0,0,3,26,19,1,1,0,0,0
0,0,0,1,19,16,0,0,0,0,0
0,0,0,1,56,58,4,0,0,0,0
0,0,2,2,80,36,1,0,0,0,0
0,0,2,9,52,40,6,0,0,0,0
0,0,0,6,96,83,4,0,0,0,0
0,0,2,12,152,134,8,0,0,0,0
0,0,0,6,66,69,6,0,0,0,0
0,0,3,9,96,84,2,0,0,0,0
0,0,0,2,37,54,13,0,0,0,0
0,0,5,13,122,159,8,0,0,0,0
0,0,4,16,244,286,9,0,0,0,0
0,0,2,20,200,302,32,2,0,0,0
0,1,4,6,128,122,11,0,0,0,0
0,0,0,3,45,50,2,0,0,0,0
0,0,2,13,85,54,0,0,0,0,0
0,2,2,4,59,78,11,0,0,0,0
0,0,5,30,389,451,27,0,0,0,0
0,1,4,13,142,86,4,0,0,0,0
1,0,2,6,62,51,5,0,0,0,0
0,0,3,5,68,90,7,1,0,0,0
0,0,0,4,104,175,7,0,0,0,0
0,1,1,12,159,115,14,0,0,0,0
0,0,9,13,142,121,15,0,0,0,0
0,0,2,4,68,27,0,0,0,0,0
0,1,0,4,72,48,0,0,0,0,0
0,0,1,5,93,77,14,0,0,0,0
0,1,1,4,68,72,10,0,0,0,0
0,0,1,10,292,223,12,0,0,0,0
0,0,4,22,397,329,6,1,0,0,0
0,3,4,3,61,29,10,0,0,0,0
0,1,2,4,79,48,6,0,0,0,0
0,0,1,7,74,114,4,1,0,0,0
0,0,1,5,45,57,0,0,0,0,0
0,1,2,2,51,64,5,0,0,0,0
0,0,1,13,196,180,9,0,0,0,0
0,0,2,11,69,65,4,0,0,0,0
0,0,2,8,126,120,12,0,0,0,0
0,0,0,1,24,14,0,1,0,0,0
0,0,3,3,27,42,7,0,0,0,0
0,0,1,3,97,93,2,0,1,0,0
0,0,0,5,102,97,10,0,0,0,0
0,0,0,2,82,129,2,1,0,0,0
0,0,3,9,112,168,37,1,0,0,0
0,0,1,4,42,105,2,0,0,0,0
0,0,0,1,119,194,14,0,0,0,0
0,0,0,10,150,166,16,0,0,0,0
0,0,0,2,116,151,7,0,0,0,0
0,0,1,2,25,15,0,0,0,0,0
0,0,0,6,45,42,9,1,0,0,0
0,0,1,2,94,127,6,0,0,0,0
0,0,1,2,30,53,8,0,0,0,0
